,producto,supermercado,precio_minimo,precio_maximo
196,Priegola Leche Fresca Semidesnatada Pasterizada Envase 1 L,hipercor,1.8,1.8
197,Puleva Leche De Vaca Desnatada Con Vitaminas A + D 1 L.,alcampo,0.9,0.9
198,Puleva Leche De Vaca Entera Ligera (Sólo 2% De Materia Grasa) 1 L.,alcampo,0.9,0.9
199,Puleva Leche De Vaca Semidesnatada Ligera (Sólo 1% De Materia Grasa) 1 L.,alcampo,1.0,1.0
200,Puleva Leche Fresca Semidesnatada Ecológica Botella 1 L,hipercor,1.89,1.89
201,"Rio Leche De Vaca Desnatada, De Origen Gallego 6 X 1.5 L.",alcampo,8.4,8.4
202,Santiveri Aove Pan Tostado 100 Integral Dextrinado Con Aceite De Oliva Virgen Extra Envase 200 G 0% Azúcares Añadidos,hipercor,2.75,2.75
203,Surinver Aliño De Ajo Y Perejil Con Aceite De Oliva Virgen Tarrina 140 G,hipercor,1.89,1.89
204,Tierra De Sabor Leche De Vaca Entera 6 X 1 L.,alcampo,4.73,4.73
205,Tierra De Sabor Leche Desnatada De Vaca 1 L.,alcampo,1.08,1.08
206,Tierra De Sabor Leche Entera De Vaca 1 L.,alcampo,0.68,0.68
207,Tierra De Sabor Leche Semidesnatada De Vaca 1 L.,alcampo,0.78,0.78
208,Tierra De Sabor Leche Semidesnatada De Vaca 6 X 1 L.,alcampo,4.73,4.73
209,Ucasol Aceite Refinado De Girasol  Garrafa De 5 L.,alcampo,14.99,14.99
210,Valdezarza Aceite De Oliva Virgen Extra Botella De 500 Ml.,alcampo,6.18,6.18
211,Valdezarza Aceite De Oliva Virgen Extra Lata 5 L.,alcampo,53.32,53.32
